x,y,name,c
0.4890530175797925,0.3167113262605047,Anacondaz,3
0.5769509823756148,0.3373173049919313,Centr,3
0.5469361922486771,0.16776669115582277,F.P.G,3
0.591912697894391,0.39235015009278584,Guf,3
0.658788976415761,0.40012607383657056,Noize MC,3
0.4295748914249063,0.3240019422750914,Oxxxymiron,2
0.5707204029225237,-0.125958687889451,Агата Кристи,0
0.8030818571097024,0.01664712328465081,Аквариум,3
0.5038492414237142,-0.12486800118251709,Александр Вертинский,0
0.5067867528110757,-0.10024784887345575,Александр Городницкий,0
0.5938591928457346,0.0028008474411778013,Александр Новиков,0
0.7051914771825901,-0.07185807992769166,Александр Розенбаум,0
0.5166094731231827,0.006008078478388824,Алексей Иващенко,4
0.7294048291788935,-0.07965527549800529,Алиса,3
0.5858390786956335,-0.1714147247581922,Алла Пугачёва,0
0.6648080453162674,-0.09385081640562641,Ария,3
0.5919022608255932,-0.06599834006346585,Аукцыон,0
0.6668879162091123,0.13869166792972362,Баста,3
0.516926596567905,-0.10861623010847418,Блестящие,0
0.633845859092775,-0.18829866201008408,Браво,0
0.5596164524610376,-0.07774345734743078,Булат Окуджава,0
0.648618986749115,-0.23750311436269447,Валерий Меладзе,0
0.6672877419632791,-0.3021091080309114,Валерия,0
0.4344979123593961,-0.10677908714955699,ВИА Гра,0
0.6838331085956867,0.17717698156631845,Владимир Высоцкий,2
0.4643831792734146,0.07909645809288599,Гражданская оборона,3
0.7643216594024529,-0.148142947620729,Григорий Лепс,0
0.6679919062692863,-0.016584949305914132,ДДТ,3
0.7582073025400281,-0.03021909650517294,Дельфин,3
0.49336692587471803,0.01634290578373866,Джиган,0
0.6806609550774033,-0.2541562165512811,Дима Билан,0
0.6800893211218382,-0.12362438646835508,Елена Ваенга,0
0.3196647539353342,-0.05150489572376594,Жанна Бичевская,0
0.5722300300658055,0.0045595768978857745,Земфира,0
0.42183938017685013,0.15634192206801162,Иван Дорн,5
0.5152328571584043,-0.009260247213106108,Иван Кучин,0
0.47129734372651794,0.03504550512547933,Иваси,4
0.5877149940558911,-0.2244285882088814,Ирина Богушевская,0
0.31109712233366377,0.3275704392636328,Каспийский Груз,5
0.635610994091848,0.29845246069412884,Каста,3
0.7252294836074705,-0.050330027824122305,Кино,3
0.6714484000188008,0.12557960096555323,Король и Шут,2
0.6967747577797735,0.04060720636545688,Крематорий,3
0.1337438811313757,-0.09611553682309171,Лариса Долина,0
0.36804565753603424,0.2338639960977207,Ленинград,0
0.3127228093050711,-0.14451236005881665,Леонид Фёдоров,1
0.4758932747580635,-0.04474263244120733,Любэ,0
0.5773648759498121,0.016908917975745934,Люмен,3
0.5786043867104225,0.16305589605506232,Макс Корж,3
0.7782448357865019,-0.06301464365841318,Машина Времени,3
0.5364295999423676,-0.21439880731914068,Мельница,0
0.5087318763428459,0.02711832400997312,Михаил Круг,0
0.7204723099714183,0.05453930169583494,Михаил Щербаков,2
0.6498655335357129,0.18510271059983371,Многоточие,3
0.4533779795058923,0.11928260426767213,Мот,0
0.5356151709027495,-0.014945194467647707,Мумий Тролль,3
0.5490552183779764,0.11529075905819883,Наив,3
0.663130165720737,-0.019366849954724027,Наутилус Помпилиус,3
0.3874550399459045,-0.05922785340651514,Никитин Сергей,0
0.3347524078501618,0.08934561161381359,Ногу Свело!,0
0.7067550747663731,-0.15109359101757094,Ночные Снайперы,0
0.43613594212247064,-0.1823912274266463,Нюша,0
0.6389831542078979,-0.06774254779678149,Олег Митяев,0
0.5802060970649383,-0.07918211354957229,Пикник,3
0.7442250335396321,-0.044659033621194166,Пилот,3
0.30921305173028657,0.17024932114844243,Потап И Настя,5
0.4625264088462665,0.2624616195532788,Пурген,3
0.45879614435445515,0.28075801000217837,Сектор Газа,2
0.38668321373482295,0.1403807776958045,Смоки Мо,3
0.6547994152658956,0.018866665052095184,Сплин,3
0.7004036386471827,-0.2883755575956798,Стас Михайлов,0
0.4977737888772781,0.22216806263501995,Тараканы!,3
0.7243379171816563,-0.32376115676104406,Татьяна Буланова,0
0.6378094915861181,0.06176969956555887,Тимати,0
0.49740313964587235,-0.0017043402483918172,Ундервуд,0
0.7150155419313189,-0.1932297570150258,Филипп Киркоров,0
0.6513921050414391,0.09606521618502362,Чайф,3
0.6390628011879979,0.017846091481280465,Чиж & Co,0
0.589500550494973,-0.03614555898054224,Элизиум,3
0.5042282867013479,-0.0489493125008376,Юрий Визбор,0
0.4959789960526766,-0.030016649108451827,Юрий Кукин,0
0.4597788028916857,-0.0062479074120340644,Янка Дягилева,3
